rand,Mod 64,Mod 32,Mod 16,Mod 8
413,29,29,13,5
918,22,22,6,6
800,32,0,0,0
359,39,7,7,7
11,11,11,11,3
630,54,22,6,6
33,33,1,1,1
621,45,13,13,5
671,31,31,15,7
741,37,5,5,5
580,4,4,4,4
149,21,21,5,5
87,23,23,7,7
632,56,24,8,0
945,49,17,1,1
23,23,23,7,7
751,47,15,15,7
990,30,30,14,6
332,12,12,12,4
47,47,15,15,7
882,50,18,2,2
385,1,1,1,1
251,59,27,11,3
110,46,14,14,6
411,27,27,11,3
231,39,7,7,7
974,14,14,14,6
795,27,27,11,3
689,49,17,1,1
515,3,3,3,3
501,53,21,5,5
389,5,5,5,5
763,59,27,11,3
397,13,13,13,5
97,33,1,1,1
636,60,28,12,4
293,37,5,5,5
459,11,11,11,3
294,38,6,6,6
525,13,13,13,5
693,53,21,5,5
527,15,15,15,7
781,13,13,13,5
219,27,27,11,3
873,41,9,9,1
946,50,18,2,2
986,26,26,10,2
114,50,18,2,2
480,32,0,0,0
354,34,2,2,2
818,50,18,2,2
570,58,26,10,2
709,5,5,5,5
216,24,24,8,0
807,39,7,7,7
490,42,10,10,2
939,43,11,11,3
649,9,9,9,1
254,62,30,14,6
348,28,28,12,4
847,15,15,15,7
377,57,25,9,1
142,14,14,14,6
123,59,27,11,3
660,20,20,4,4
512,0,0,0,0
683,43,11,11,3
961,1,1,1,1
844,12,12,12,4
900,4,4,4,4
276,20,20,4,4
693,53,21,5,5
248,56,24,8,0
196,4,4,4,4
258,2,2,2,2
78,14,14,14,6
821,53,21,5,5
687,47,15,15,7
387,3,3,3,3
979,19,19,3,3
945,49,17,1,1
775,7,7,7,7
581,5,5,5,5
309,53,21,5,5
579,3,3,3,3
639,63,31,15,7
277,21,21,5,5
998,38,6,6,6
516,4,4,4,4
820,52,20,4,4
872,40,8,8,0
781,13,13,13,5
952,56,24,8,0
950,54,22,6,6
925,29,29,13,5
487,39,7,7,7
931,35,3,3,3
810,42,10,10,2
860,28,28,12,4
40,40,8,8,0
915,19,19,3,3
225,33,1,1,1
231,39,7,7,7
167,39,7,7,7
750,46,14,14,6
225,33,1,1,1
804,36,4,4,4
209,17,17,1,1
510,62,30,14,6
46,46,14,14,6
993,33,1,1,1
298,42,10,10,2
337,17,17,1,1
943,47,15,15,7
966,6,6,6,6
74,10,10,10,2
690,50,18,2,2
691,51,19,3,3
730,26,26,10,2
832,0,0,0,0
647,7,7,7,7
677,37,5,5,5
231,39,7,7,7
443,59,27,11,3
146,18,18,2,2
346,26,26,10,2
563,51,19,3,3
926,30,30,14,6
608,32,0,0,0
339,19,19,3,3
809,41,9,9,1
480,32,0,0,0
654,14,14,14,6
413,29,29,13,5
764,60,28,12,4
821,53,21,5,5
952,56,24,8,0
942,46,14,14,6
15,15,15,15,7
887,55,23,7,7
930,34,2,2,2
18,18,18,2,2
530,18,18,2,2
350,30,30,14,6
35,35,3,3,3
978,18,18,2,2
668,28,28,12,4
878,46,14,14,6
255,63,31,15,7
637,61,29,13,5
99,35,3,3,3
3,3,3,3,3
439,55,23,7,7
295,39,7,7,7
365,45,13,13,5
70,6,6,6,6
486,38,6,6,6
726,22,22,6,6
773,5,5,5,5
774,6,6,6,6
593,17,17,1,1
71,7,7,7,7
30,30,30,14,6
264,8,8,8,0
542,30,30,14,6
65,1,1,1,1
881,49,17,1,1
699,59,27,11,3
115,51,19,3,3
201,9,9,9,1
224,32,0,0,0
790,22,22,6,6
323,3,3,3,3
893,61,29,13,5
778,10,10,10,2
755,51,19,3,3
520,8,8,8,0
587,11,11,11,3
853,21,21,5,5
960,0,0,0,0
685,45,13,13,5
575,63,31,15,7
966,6,6,6,6
888,56,24,8,0
148,20,20,4,4
450,2,2,2,2
879,47,15,15,7
470,22,22,6,6
436,52,20,4,4
139,11,11,11,3
527,15,15,15,7
811,43,11,11,3
987,27,27,11,3
546,34,2,2,2
942,46,14,14,6
444,60,28,12,4
11,11,11,11,3
250,58,26,10,2
197,5,5,5,5
631,55,23,7,7
958,62,30,14,6
639,63,31,15,7
361,41,9,9,1
532,20,20,4,4
692,52,20,4,4
867,35,3,3,3
156,28,28,12,4
478,30,30,14,6
453,5,5,5,5
856,24,24,8,0
31,31,31,15,7
815,47,15,15,7
374,54,22,6,6
606,30,30,14,6
182,54,22,6,6
706,2,2,2,2
687,47,15,15,7
136,8,8,8,0
322,2,2,2,2
827,59,27,11,3
516,4,4,4,4
108,44,12,12,4
596,20,20,4,4
304,48,16,0,0
386,2,2,2,2
441,57,25,9,1
205,13,13,13,5
881,49,17,1,1
622,46,14,14,6
999,39,7,7,7
195,3,3,3,3
915,19,19,3,3
380,60,28,12,4
13,13,13,13,5
221,29,29,13,5
954,58,26,10,2
418,34,2,2,2
896,0,0,0,0
200,8,8,8,0
769,1,1,1,1
228,36,4,4,4
697,57,25,9,1
338,18,18,2,2
317,61,29,13,5
636,60,28,12,4
643,3,3,3,3
463,15,15,15,7
127,63,31,15,7
331,11,11,11,3
530,18,18,2,2
646,6,6,6,6
95,31,31,15,7
357,37,5,5,5
196,4,4,4,4
275,19,19,3,3
280,24,24,8,0
565,53,21,5,5
561,49,17,1,1
373,53,21,5,5
335,15,15,15,7
746,42,10,10,2
382,62,30,14,6
170,42,10,10,2
586,10,10,10,2
488,40,8,8,0
939,43,11,11,3
351,31,31,15,7
133,5,5,5,5
222,30,30,14,6
675,35,3,3,3
77,13,13,13,5
501,53,21,5,5
221,29,29,13,5
593,17,17,1,1
504,56,24,8,0
794,26,26,10,2
453,5,5,5,5
236,44,12,12,4
556,44,12,12,4
235,43,11,11,3
973,13,13,13,5
711,7,7,7,7
369,49,17,1,1
197,5,5,5,5
180,52,20,4,4
756,52,20,4,4
500,52,20,4,4
534,22,22,6,6
973,13,13,13,5
282,26,26,10,2
176,48,16,0,0
70,6,6,6,6
83,19,19,3,3
235,43,11,11,3
785,17,17,1,1
171,43,11,11,3
765,61,29,13,5
872,40,8,8,0
803,35,3,3,3
422,38,6,6,6
76,12,12,12,4
143,15,15,15,7
327,7,7,7,7
745,41,9,9,1
415,31,31,15,7
56,56,24,8,0
161,33,1,1,1
206,14,14,14,6
273,17,17,1,1
927,31,31,15,7
228,36,4,4,4
197,5,5,5,5
805,37,5,5,5
915,19,19,3,3
178,50,18,2,2
852,20,20,4,4
256,0,0,0,0
393,9,9,9,1
893,61,29,13,5
19,19,19,3,3
97,33,1,1,1
277,21,21,5,5
281,25,25,9,1
181,53,21,5,5
496,48,16,0,0
754,50,18,2,2
152,24,24,8,0
362,42,10,10,2
784,16,16,0,0
881,49,17,1,1
814,46,14,14,6
548,36,4,4,4
864,32,0,0,0
779,11,11,11,3
20,20,20,4,4
68,4,4,4,4
119,55,23,7,7
275,19,19,3,3
842,10,10,10,2
275,19,19,3,3
270,14,14,14,6
841,9,9,9,1
173,45,13,13,5
180,52,20,4,4
601,25,25,9,1
799,31,31,15,7
189,61,29,13,5
585,9,9,9,1
48,48,16,0,0
675,35,3,3,3
967,7,7,7,7
660,20,20,4,4
560,48,16,0,0
660,20,20,4,4
233,41,9,9,1
647,7,7,7,7
545,33,1,1,1
384,0,0,0,0
463,15,15,15,7
555,43,11,11,3
288,32,0,0,0
545,33,1,1,1
734,30,30,14,6
631,55,23,7,7
895,63,31,15,7
932,36,4,4,4
510,62,30,14,6
101,37,5,5,5
216,24,24,8,0
157,29,29,13,5
771,3,3,3,3
136,8,8,8,0
731,27,27,11,3
910,14,14,14,6
854,22,22,6,6
690,50,18,2,2
134,6,6,6,6
223,31,31,15,7
781,13,13,13,5
751,47,15,15,7
88,24,24,8,0
633,57,25,9,1
572,60,28,12,4
308,52,20,4,4
610,34,2,2,2
444,60,28,12,4
751,47,15,15,7
182,54,22,6,6
706,2,2,2,2
58,58,26,10,2
334,14,14,14,6
985,25,25,9,1
770,2,2,2,2
128,0,0,0,0
842,10,10,10,2
422,38,6,6,6
152,24,24,8,0
0,0,0,0,0
76,12,12,12,4
117,53,21,5,5
601,25,25,9,1
315,59,27,11,3
948,52,20,4,4
165,37,5,5,5
0,0,0,0,0
363,43,11,11,3
86,22,22,6,6
456,8,8,8,0
709,5,5,5,5
651,11,11,11,3
347,27,27,11,3
407,23,23,7,7
367,47,15,15,7
337,17,17,1,1
340,20,20,4,4
524,12,12,12,4
503,55,23,7,7
996,36,4,4,4
20,20,20,4,4
318,62,30,14,6
64,0,0,0,0
652,12,12,12,4
392,8,8,8,0
480,32,0,0,0
732,28,28,12,4
144,16,16,0,0
795,27,27,11,3
600,24,24,8,0
783,15,15,15,7
749,45,13,13,5
937,41,9,9,1
243,51,19,3,3
201,9,9,9,1
580,4,4,4,4
806,38,6,6,6
423,39,7,7,7
617,41,9,9,1
990,30,30,14,6
586,10,10,10,2
691,51,19,3,3
883,51,19,3,3
268,12,12,12,4
983,23,23,7,7
874,42,10,10,2
290,34,2,2,2
79,15,15,15,7
816,48,16,0,0
897,1,1,1,1
771,3,3,3,3
648,8,8,8,0
660,20,20,4,4
595,19,19,3,3
518,6,6,6,6
63,63,31,15,7
610,34,2,2,2
906,10,10,10,2
852,20,20,4,4
957,61,29,13,5
346,26,26,10,2
649,9,9,9,1
996,36,4,4,4
472,24,24,8,0
880,48,16,0,0
268,12,12,12,4
451,3,3,3,3
173,45,13,13,5
781,13,13,13,5
635,59,27,11,3
454,6,6,6,6
41,41,9,9,1
547,35,3,3,3
554,42,10,10,2
11,11,11,11,3
360,40,8,8,0
378,58,26,10,2
652,12,12,12,4
355,35,3,3,3
287,31,31,15,7
193,1,1,1,1
314,58,26,10,2
845,13,13,13,5
54,54,22,6,6
290,34,2,2,2
19,19,19,3,3
24,24,24,8,0
215,23,23,7,7
803,35,3,3,3
180,52,20,4,4
30,30,30,14,6
125,61,29,13,5
764,60,28,12,4
16,16,16,0,0
727,23,23,7,7
682,42,10,10,2
317,61,29,13,5
198,6,6,6,6
509,61,29,13,5
330,10,10,10,2
23,23,23,7,7
625,49,17,1,1
347,27,27,11,3
536,24,24,8,0
179,51,19,3,3
601,25,25,9,1
942,46,14,14,6
685,45,13,13,5
262,6,6,6,6
93,29,29,13,5
19,19,19,3,3
605,29,29,13,5
987,27,27,11,3
132,4,4,4,4
299,43,11,11,3
55,55,23,7,7
152,24,24,8,0
758,54,22,6,6
547,35,3,3,3
817,49,17,1,1
404,20,20,4,4
849,17,17,1,1
639,63,31,15,7
20,20,20,4,4
701,61,29,13,5
61,61,29,13,5
976,16,16,0,0
686,46,14,14,6
115,51,19,3,3
552,40,8,8,0
148,20,20,4,4
592,16,16,0,0
810,42,10,10,2
819,51,19,3,3
345,25,25,9,1
87,23,23,7,7
405,21,21,5,5
838,6,6,6,6
974,14,14,14,6
131,3,3,3,3
560,48,16,0,0
593,17,17,1,1
607,31,31,15,7
221,29,29,13,5
515,3,3,3,3
886,54,22,6,6
705,1,1,1,1
219,27,27,11,3
262,6,6,6,6
519,7,7,7,7
766,62,30,14,6
413,29,29,13,5
747,43,11,11,3
571,59,27,11,3
409,25,25,9,1
937,41,9,9,1
393,9,9,9,1
559,47,15,15,7
29,29,29,13,5
591,15,15,15,7
872,40,8,8,0
462,14,14,14,6
943,47,15,15,7
914,18,18,2,2
442,58,26,10,2
348,28,28,12,4
868,36,4,4,4
149,21,21,5,5
3,3,3,3,3
597,21,21,5,5
752,48,16,0,0
49,49,17,1,1
693,53,21,5,5
311,55,23,7,7
727,23,23,7,7
275,19,19,3,3
324,4,4,4,4
893,61,29,13,5
919,23,23,7,7
698,58,26,10,2
270,14,14,14,6
125,61,29,13,5
27,27,27,11,3
343,23,23,7,7
24,24,24,8,0
542,30,30,14,6
638,62,30,14,6
360,40,8,8,0
675,35,3,3,3
614,38,6,6,6
900,4,4,4,4
926,30,30,14,6
675,35,3,3,3
248,56,24,8,0
581,5,5,5,5
946,50,18,2,2
486,38,6,6,6
959,63,31,15,7
855,23,23,7,7
109,45,13,13,5
853,21,21,5,5
607,31,31,15,7
660,20,20,4,4
480,32,0,0,0
426,42,10,10,2
723,19,19,3,3
323,3,3,3,3
224,32,0,0,0
151,23,23,7,7
462,14,14,14,6
304,48,16,0,0
326,6,6,6,6
641,1,1,1,1
791,23,23,7,7
453,5,5,5,5
406,22,22,6,6
380,60,28,12,4
615,39,7,7,7
281,25,25,9,1
277,21,21,5,5
169,41,9,9,1
827,59,27,11,3
769,1,1,1,1
600,24,24,8,0
24,24,24,8,0
563,51,19,3,3
336,16,16,0,0
698,58,26,10,2
530,18,18,2,2
469,21,21,5,5
756,52,20,4,4
308,52,20,4,4
197,5,5,5,5
462,14,14,14,6
459,11,11,11,3
742,38,6,6,6
384,0,0,0,0
581,5,5,5,5
516,4,4,4,4
632,56,24,8,0
449,1,1,1,1
218,26,26,10,2
655,15,15,15,7
663,23,23,7,7
333,13,13,13,5
525,13,13,13,5
613,37,5,5,5
522,10,10,10,2
814,46,14,14,6
775,7,7,7,7
955,59,27,11,3
704,0,0,0,0
668,28,28,12,4
221,29,29,13,5
670,30,30,14,6
785,17,17,1,1
570,58,26,10,2
118,54,22,6,6
972,12,12,12,4
641,1,1,1,1
659,19,19,3,3
852,20,20,4,4
342,22,22,6,6
426,42,10,10,2
890,58,26,10,2
681,41,9,9,1
739,35,3,3,3
135,7,7,7,7
261,5,5,5,5
874,42,10,10,2
330,10,10,10,2
48,48,16,0,0
231,39,7,7,7
557,45,13,13,5
736,32,0,0,0
895,63,31,15,7
884,52,20,4,4
341,21,21,5,5
855,23,23,7,7
153,25,25,9,1
109,45,13,13,5
75,11,11,11,3
534,22,22,6,6
202,10,10,10,2
862,30,30,14,6
213,21,21,5,5
169,41,9,9,1
984,24,24,8,0
286,30,30,14,6
935,39,7,7,7
180,52,20,4,4
598,22,22,6,6
848,16,16,0,0
938,42,10,10,2
469,21,21,5,5
100,36,4,4,4
91,27,27,11,3
327,7,7,7,7
916,20,20,4,4
326,6,6,6,6
338,18,18,2,2
154,26,26,10,2
865,33,1,1,1
641,1,1,1,1
899,3,3,3,3
777,9,9,9,1
112,48,16,0,0
670,30,30,14,6
580,4,4,4,4
777,9,9,9,1
795,27,27,11,3
490,42,10,10,2
827,59,27,11,3
623,47,15,15,7
555,43,11,11,3
958,62,30,14,6
168,40,8,8,0
401,17,17,1,1
779,11,11,11,3
957,61,29,13,5
654,14,14,14,6
287,31,31,15,7
615,39,7,7,7
115,51,19,3,3
795,27,27,11,3
571,59,27,11,3
565,53,21,5,5
86,22,22,6,6
849,17,17,1,1
242,50,18,2,2
741,37,5,5,5
688,48,16,0,0
606,30,30,14,6
809,41,9,9,1
623,47,15,15,7
791,23,23,7,7
546,34,2,2,2
226,34,2,2,2
536,24,24,8,0
685,45,13,13,5
45,45,13,13,5
371,51,19,3,3
465,17,17,1,1
650,10,10,10,2
890,58,26,10,2
997,37,5,5,5
118,54,22,6,6
741,37,5,5,5
26,26,26,10,2
232,40,8,8,0
923,27,27,11,3
622,46,14,14,6
916,20,20,4,4
70,6,6,6,6
580,4,4,4,4
189,61,29,13,5
400,16,16,0,0
381,61,29,13,5
35,35,3,3,3
495,47,15,15,7
44,44,12,12,4
138,10,10,10,2
486,38,6,6,6
52,52,20,4,4
432,48,16,0,0
732,28,28,12,4
699,59,27,11,3
693,53,21,5,5
520,8,8,8,0
655,15,15,15,7
859,27,27,11,3
184,56,24,8,0
180,52,20,4,4
463,15,15,15,7
441,57,25,9,1
883,51,19,3,3
973,13,13,13,5
453,5,5,5,5
675,35,3,3,3
223,31,31,15,7
767,63,31,15,7
294,38,6,6,6
642,2,2,2,2
652,12,12,12,4
973,13,13,13,5
639,63,31,15,7
460,12,12,12,4
999,39,7,7,7
473,25,25,9,1
788,20,20,4,4
727,23,23,7,7
150,22,22,6,6
260,4,4,4,4
22,22,22,6,6
634,58,26,10,2
846,14,14,14,6
753,49,17,1,1
304,48,16,0,0
347,27,27,11,3
764,60,28,12,4
793,25,25,9,1
74,10,10,10,2
848,16,16,0,0
936,40,8,8,0
874,42,10,10,2
620,44,12,12,4
211,19,19,3,3
708,4,4,4,4
812,44,12,12,4
269,13,13,13,5
636,60,28,12,4
771,3,3,3,3
156,28,28,12,4
299,43,11,11,3
290,34,2,2,2
762,58,26,10,2
851,19,19,3,3
284,28,28,12,4
863,31,31,15,7
617,41,9,9,1
415,31,31,15,7
663,23,23,7,7
311,55,23,7,7
372,52,20,4,4
621,45,13,13,5
552,40,8,8,0
0,0,0,0,0
278,22,22,6,6
503,55,23,7,7
972,12,12,12,4
281,25,25,9,1
956,60,28,12,4
524,12,12,12,4
818,50,18,2,2
224,32,0,0,0
821,53,21,5,5
888,56,24,8,0
763,59,27,11,3
687,47,15,15,7
722,18,18,2,2
154,26,26,10,2
2,2,2,2,2
327,7,7,7,7
180,52,20,4,4
730,26,26,10,2
37,37,5,5,5
820,52,20,4,4
255,63,31,15,7
33,33,1,1,1
586,10,10,10,2
998,38,6,6,6
130,2,2,2,2
238,46,14,14,6
382,62,30,14,6
264,8,8,8,0
524,12,12,12,4
311,55,23,7,7
131,3,3,3,3
272,16,16,0,0
794,26,26,10,2
654,14,14,14,6
395,11,11,11,3
643,3,3,3,3
161,33,1,1,1
516,4,4,4,4
42,42,10,10,2
282,26,26,10,2
236,44,12,12,4
126,62,30,14,6
723,19,19,3,3
700,60,28,12,4
126,62,30,14,6
835,3,3,3,3
741,37,5,5,5
308,52,20,4,4
109,45,13,13,5
246,54,22,6,6
306,50,18,2,2
850,18,18,2,2
2,2,2,2,2
764,60,28,12,4
504,56,24,8,0
478,30,30,14,6
299,43,11,11,3
959,63,31,15,7
81,17,17,1,1
298,42,10,10,2
818,50,18,2,2
62,62,30,14,6
416,32,0,0,0
956,60,28,12,4
728,24,24,8,0
183,55,23,7,7
961,1,1,1,1
822,54,22,6,6
13,13,13,13,5
13,13,13,13,5
590,14,14,14,6
302,46,14,14,6
181,53,21,5,5
0,0,0,0,0
667,27,27,11,3
463,15,15,15,7
20,20,20,4,4
213,21,21,5,5
717,13,13,13,5
4,4,4,4,4
649,9,9,9,1
821,53,21,5,5
543,31,31,15,7
132,4,4,4,4
100,36,4,4,4
884,52,20,4,4
715,11,11,11,3
782,14,14,14,6
526,14,14,14,6
762,58,26,10,2
181,53,21,5,5
33,33,1,1,1
152,24,24,8,0
753,49,17,1,1
914,18,18,2,2
520,8,8,8,0
298,42,10,10,2
92,28,28,12,4
256,0,0,0,0
494,46,14,14,6
887,55,23,7,7
10,10,10,10,2
57,57,25,9,1
975,15,15,15,7
311,55,23,7,7
491,43,11,11,3
705,1,1,1,1
68,4,4,4,4
84,20,20,4,4
380,60,28,12,4
708,4,4,4,4
51,51,19,3,3
77,13,13,13,5
916,20,20,4,4
8,8,8,8,0
483,35,3,3,3
567,55,23,7,7
357,37,5,5,5
282,26,26,10,2
609,33,1,1,1
209,17,17,1,1
126,62,30,14,6
194,2,2,2,2
623,47,15,15,7
249,57,25,9,1
821,53,21,5,5
690,50,18,2,2
864,32,0,0,0
775,7,7,7,7
719,15,15,15,7
264,8,8,8,0
793,25,25,9,1
613,37,5,5,5
976,16,16,0,0
517,5,5,5,5
273,17,17,1,1
482,34,2,2,2
738,34,2,2,2
711,7,7,7,7
196,4,4,4,4
438,54,22,6,6
722,18,18,2,2
345,25,25,9,1
348,28,28,12,4
152,24,24,8,0
310,54,22,6,6
854,22,22,6,6
66,2,2,2,2
516,4,4,4,4
435,51,19,3,3
823,55,23,7,7
712,8,8,8,0
670,30,30,14,6
315,59,27,11,3
302,46,14,14,6
419,35,3,3,3
219,27,27,11,3
920,24,24,8,0
490,42,10,10,2
152,24,24,8,0
331,11,11,11,3
639,63,31,15,7
659,19,19,3,3
315,59,27,11,3
338,18,18,2,2
31,31,31,15,7
207,15,15,15,7
826,58,26,10,2
587,11,11,11,3
771,3,3,3,3
413,29,29,13,5
932,36,4,4,4
768,0,0,0,0
118,54,22,6,6
391,7,7,7,7
659,19,19,3,3
825,57,25,9,1
717,13,13,13,5
309,53,21,5,5
445,61,29,13,5
647,7,7,7,7
391,7,7,7,7
981,21,21,5,5
826,58,26,10,2
395,11,11,11,3
494,46,14,14,6
575,63,31,15,7
603,27,27,11,3
921,25,25,9,1
772,4,4,4,4
960,0,0,0,0
698,58,26,10,2
451,3,3,3,3
448,0,0,0,0
78,14,14,14,6
6,6,6,6,6
133,5,5,5,5
546,34,2,2,2
104,40,8,8,0
7,7,7,7,7
100,36,4,4,4
493,45,13,13,5
272,16,16,0,0
678,38,6,6,6
57,57,25,9,1
715,11,11,11,3
678,38,6,6,6
134,6,6,6,6
753,49,17,1,1
824,56,24,8,0
791,23,23,7,7
384,0,0,0,0
699,59,27,11,3
791,23,23,7,7
376,56,24,8,0
353,33,1,1,1
284,28,28,12,4
821,53,21,5,5
683,43,11,11,3
931,35,3,3,3
600,24,24,8,0
349,29,29,13,5
711,7,7,7,7
166,38,6,6,6
649,9,9,9,1
758,54,22,6,6
683,43,11,11,3
305,49,17,1,1
950,54,22,6,6
833,1,1,1,1
860,28,28,12,4
70,6,6,6,6
948,52,20,4,4
397,13,13,13,5
42,42,10,10,2
244,52,20,4,4
643,3,3,3,3
952,56,24,8,0
25,25,25,9,1
296,40,8,8,0
44,44,12,12,4
633,57,25,9,1
963,3,3,3,3
431,47,15,15,7
523,11,11,11,3
22,22,22,6,6
903,7,7,7,7
140,12,12,12,4
303,47,15,15,7
818,50,18,2,2
95,31,31,15,7
830,62,30,14,6
343,23,23,7,7
280,24,24,8,0
201,9,9,9,1
909,13,13,13,5
109,45,13,13,5
725,21,21,5,5
155,27,27,11,3
169,41,9,9,1
88,24,24,8,0
793,25,25,9,1
778,10,10,10,2
646,6,6,6,6
384,0,0,0,0
434,50,18,2,2
812,44,12,12,4
103,39,7,7,7
97,33,1,1,1
71,7,7,7,7
611,35,3,3,3
362,42,10,10,2
893,61,29,13,5
812,44,12,12,4
440,56,24,8,0
291,35,3,3,3
789,21,21,5,5
413,29,29,13,5
540,28,28,12,4
983,23,23,7,7
465,17,17,1,1
793,25,25,9,1
331,11,11,11,3
691,51,19,3,3
110,46,14,14,6
904,8,8,8,0
287,31,31,15,7
26,26,26,10,2
889,57,25,9,1
959,63,31,15,7
465,17,17,1,1
868,36,4,4,4
897,1,1,1,1
6,6,6,6,6
450,2,2,2,2
594,18,18,2,2
14,14,14,14,6
771,3,3,3,3
0,0,0,0,0
547,35,3,3,3
330,10,10,10,2
431,47,15,15,7
657,17,17,1,1
62,62,30,14,6
273,17,17,1,1
147,19,19,3,3
79,15,15,15,7
359,39,7,7,7
334,14,14,14,6
613,37,5,5,5
30,30,30,14,6
468,20,20,4,4
514,2,2,2,2
647,7,7,7,7
825,57,25,9,1
294,38,6,6,6
154,26,26,10,2
356,36,4,4,4
14,14,14,14,6
322,2,2,2,2
320,0,0,0,0
327,7,7,7,7
225,33,1,1,1
360,40,8,8,0
51,51,19,3,3
819,51,19,3,3
892,60,28,12,4
485,37,5,5,5
476,28,28,12,4
489,41,9,9,1
823,55,23,7,7
856,24,24,8,0
759,55,23,7,7
36,36,4,4,4
206,14,14,14,6
21,21,21,5,5
508,60,28,12,4
431,47,15,15,7
820,52,20,4,4
506,58,26,10,2
496,48,16,0,0
372,52,20,4,4
84,20,20,4,4
478,30,30,14,6
454,6,6,6,6
17,17,17,1,1
423,39,7,7,7
314,58,26,10,2
773,5,5,5,5
774,6,6,6,6
640,0,0,0,0
839,7,7,7,7
15,15,15,15,7
643,3,3,3,3
879,47,15,15,7
566,54,22,6,6
802,34,2,2,2
496,48,16,0,0
419,35,3,3,3
77,13,13,13,5
983,23,23,7,7
765,61,29,13,5
700,60,28,12,4
605,29,29,13,5
909,13,13,13,5
926,30,30,14,6
905,9,9,9,1
175,47,15,15,7
837,5,5,5,5
80,16,16,0,0
570,58,26,10,2
188,60,28,12,4
897,1,1,1,1
613,37,5,5,5
856,24,24,8,0
159,31,31,15,7
703,63,31,15,7
795,27,27,11,3
955,59,27,11,3
641,1,1,1,1
324,4,4,4,4
696,56,24,8,0
991,31,31,15,7
587,11,11,11,3
711,7,7,7,7
293,37,5,5,5
848,16,16,0,0
527,15,15,15,7
609,33,1,1,1
852,20,20,4,4
358,38,6,6,6
618,42,10,10,2
577,1,1,1,1
939,43,11,11,3
537,25,25,9,1
232,40,8,8,0
654,14,14,14,6
425,41,9,9,1
3,3,3,3,3
189,61,29,13,5
346,26,26,10,2
152,24,24,8,0
527,15,15,15,7
218,26,26,10,2
664,24,24,8,0
270,14,14,14,6
202,10,10,10,2
860,28,28,12,4
242,50,18,2,2
870,38,6,6,6
131,3,3,3,3
480,32,0,0,0
383,63,31,15,7
549,37,5,5,5
619,43,11,11,3
849,17,17,1,1
335,15,15,15,7
373,53,21,5,5
664,24,24,8,0
733,29,29,13,5
927,31,31,15,7
425,41,9,9,1
242,50,18,2,2
119,55,23,7,7
812,44,12,12,4
431,47,15,15,7
81,17,17,1,1
991,31,31,15,7
115,51,19,3,3
283,27,27,11,3
187,59,27,11,3
334,14,14,14,6
318,62,30,14,6
342,22,22,6,6
39,39,7,7,7
247,55,23,7,7
396,12,12,12,4
598,22,22,6,6
742,38,6,6,6
962,2,2,2,2
997,37,5,5,5
328,8,8,8,0
905,9,9,9,1
211,19,19,3,3
333,13,13,13,5
130,2,2,2,2
499,51,19,3,3
726,22,22,6,6
64,0,0,0,0
